Source title,DOI,Link,Affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,EID
"Journal of Innovative Optical Health Sciences",10.1142/S179354581650036X,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966431198&doi=10.1142%2fS179354581650036X&partnerID=40&md5=97ffb8f9831b816f82e8ac501c886b62","N. F. Gamaleya Research Institute of Epidemiology and Microbiology Ministry of Health, Russian Federation 18 Gamaleyi, Moscow, Russian Federation; V. I. il'Ichev Pacific Oceanological Institute, Far-Eastern Division of Russian Academy of Sciences, 43 Baltiiskaya, Vladivostok, Russian Federation; Institute on Laser and Information Technologies, Russian Academy of Sciences, 2 Pionerskaya, Troitsk, Moscow, Russian Federation; Biological Faculty of Moscow State University, 1-12 Leninskiye Gory MSU, Moscow, Russian Federation","In this paper, we studied the effects of physical factors, such as, acoustic pulses of laser-induced hydrodynamics (ALIH) and extremely-high frequencies (EHF) radiation, on the formation of heterotopic bone marrow organs. A suspension of precipitated bone marrow cells from CBA mice were exposed to ALIH pulses and EHF radiation separately and in their combination tissue engineering constructs, presenting gelatin sponges 2 by 2 by 2mm in size containing 107 nucleated bone marrow cells, were exposed to physical factors and were implanted under the renal capsules of syngeneic mice. The newly formed hematopoietic organs were examined in three and five months later after treatment. The five months old transplants were bigger in size than the three months old transplants. The number of hematopoietic cells in the rest of the groups increased during this period by a factor from 3 to 10, the increase being as high as 20-fold in the ALIH+EHF group. Maximal concentration of multipotent stromal cells (MSCs) was in the EHF+ALIH, and minimal concentration was in the ALIH+EHF. The accumulation rate of bone capsule weight was highest for the transplants of EHF+ALIH and ALIH-sponge groups during the first three months. These data showed that the combined impact of the EHF+ALIH on MSCs is the most effective for the formation of bone marrow transplantation. © 2017 The Author(s).","acoustic pulses; extremely high frequency radiation; heterotopic transplantation; laser-induced hydrodynamics; Multipotent stromal cells","Bone; Cell culture; Cells; Cytology; Flowcharting; Fluid dynamics; Hydrodynamics; Laser pulses; Mammals; Radiation effects; Tissue; Tissue engineering; Accumulation rates; Acoustic pulse; Bone marrow transplantation; Extremely high frequencies; Hematopoietic cell; Laser induced; Marrow stromal cell; Stromal cells; Cell engineering",,,17935458,,,,"English",2-s2.0-84966431198
"Journal of Biomedical Materials Research - Part A",10.1002/jbm.a.35871,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992088272&doi=10.1002%2fjbm.a.35871&partnerID=40&md5=f92e80e234f23c5a2d303346efcd4a5e","Insitute of Photonic Technologies, Federal Reseach Center “Chrystallography and Photonics”, Moscow, Russian Federation; Academician V.I. Shumakov Federal Research Center of Transplantology and Artificial Organs, Ministry of Health of the Russian Federation, Moscow, Russian Federation","We proposed a novel method of generation of bioresorbable polymeric scaffolds with specified architectonics for tissue engineering using extrusion three-dimensional (3D) printing with solutions of polylactoglycolide in tetraglycol with their subsequent solidifying in aqueous medium. On the basis of 3D computer models, we obtained the matrix structures with interconnected system of pores ranging in size from 0.5 to 500 µm. The results of in vitro studies using cultures of line NIH 3Т3 mouse fibroblasts, floating islet cultures of newborn rabbit pancreas, and mesenchymal stem cells of human adipose tissue demonstrated the absence of cytotoxicity and good adhesive properties of scaffolds in regard to the cell cultures chosen. © 2016 Wiley Periodicals, Inc. J Biomed Mater Res Part A: 105A: 104–109, 2017. © 2016 Wiley Periodicals, Inc.","3D printing; bioresorbable polymeric scaffolds; polylactic-co-glycolic acids; tissue engineering","3D printers; Cell culture; Polymers; Printing; Stem cells; Tissue; Tissue engineering; 3-D printing; 3t3 mouse fibroblasts; Adhesive properties; Human adipose tissue; Mesenchymal stem cell; Poly lactic-co-glycolic acid; Polymeric scaffold; Three-dimensional (3D) printing; Scaffolds (biology)",,,15493296,,JBMRC,,"English",2-s2.0-84992088272
"International Journal of Fracture",10.1007/s10704-016-0157-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991743356&doi=10.1007%2fs10704-016-0157-z&partnerID=40&md5=c99a2b43da56757157d3cf64a6b6addf","Institute for Mechanics of Materials and Structures, Vienna University of Technology, Vienna, Austria; A.A. Baikov Institute of Metallurgy and Materials Science, Russian Academy of Sciences, Moscow, Russian Federation; Institute of Laser and Information Technologies, Russian Academy of Sciences, Moscow, Russian Federation","Bone tissue engineering materials must blend in the targeted physiological environment, in terms of both the materials’ biocompatibility and mechanical properties. As for the latter, a well-adjusted stiffness ensures that the biomaterial’s deformation behavior fits well to the deformation behavior of the surrounding biological tissue, whereas an appropriate strength provides sufficient load-carrying capacity of the biomaterial. Here, a mathematical modeling approach for estimating the macroscopic load that initiates failure of a hierarchically organized, granular, hydroxyapatite-based biomaterial is presented. For this purpose, a micromechanics model is developed for downscaling macroscopically prescribed stress (or strain) states to the level of the needle-shaped hydroxyapatite crystals. Presuming that the biomaterial fails due to the quasi-brittle failure of the most unfavorably stressed hydroxyapatite needle, the downscaled stress tensors are fed into a suitable, Mohr-Coulomb-type failure criterion, based on which the macroscopic failure load is deduced. The change of the biomaterial’s composition in response to placing it in physiological solution, caused by growth of new bone tissue on the granules’s surfaces, on the one hand, and by resorption of the hydroxyapatite crystals, on the other hand, is taken into account by means of suitable evolution laws. Numerical studies show how the macroscopic load-carrying capacity of the biomaterial is influenced by its design parameters. The presented modeling approach could prove beneficial for the design process of the studied biomaterials (as well as similarly composed biomaterials), particularly in terms of optimizing its mechanical performance. © 2016, The Author(s).","Bone ingrowth; Continuum micromechanics; Elastic limit; Multiscale modeling; Tissue engineering","Biocompatibility; Biology; Biomechanics; Bone; Composite micromechanics; Deformation; Hydroxyapatite; Large scale systems; Load limits; Loads (forces); Micromechanics; Needles; Physiological models; Physiology; Safety engineering; Tissue; Tissue engineering; Bone ingrowth; Bone tissue engineering; Continuum micromechanics; Elastic limit; Hydroxyapatite crystals; Mechanical performance; Multi-scale Modeling; Physiological environment; Biomaterials","15-13-00108, Russian Science Support Foundation",,03769429,,,,"English",2-s2.0-84991743356
"BioNanoScience",10.1007/s12668-016-0287-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000866255&doi=10.1007%2fs12668-016-0287-9&partnerID=40&md5=50ebbea85f5941d2ed3bf9d8642faae9","BIOAIRLab, University Hospital Careggi, Florence, Italy; Laboratory of Bioengineering and Regenerative Medicine (BioReM), Kazan (Volga Region) Federal University, Kazan, Russian Federation; Animal Microsurgery Center, Departments of Surgery, Biological Science Division, University of Chicago, Chicago, IL, United States; University of Illinois College of Medicine Peoria, Illinois, United States","The repair and reconstruction of bile ducts damaged by disease or trauma remains a vexing medical problem. In particular, surgeons have few options when it comes to a long segment reconstruction of the bile duct. Tissue-engineered substitutes, with properties similar to the native tissue, might represent a solution for the functional reconstruction of bile ducts. In particular, decellularized tissues and organs represent a suitable option for tissue engineering when specific scaffolds are needed. However, the optimal conditions to completely remove all the cellular components and minimally affect the structural and residual biochemical properties of the extracellular matrix are still to be found. This paper presents the characterization of rat bile ducts after implementing an established detergent-enzymatic decellularization method. One cycle was enough to generate a complete decellularized bile duct matrix, histologically and structurally similar to the native one. The network of collagen, reticular and elastic fibers, found in the native bile duct matrix was well preserved. Moreover, the decellularization approach did not affect the elastin content. © 2016, Springer Science+Business Media New York.","Bile ducts; Decellularization; Detergent-enzymatic approach; Extracellular matrix","Body fluids; Rats; Scaffolds (biology); Tissue; Tissue engineering; Bile ducts; Biochemical properties; Cellular components; Decellularization; Decellularized; Decellularized tissues; Extracellular matrices; Optimal conditions; Ducts",,,21911630,,,,"English",2-s2.0-85000866255
"Nano Communication Networks",10.1016/j.nancom.2016.07.010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84999711606&doi=10.1016%2fj.nancom.2016.07.010&partnerID=40&md5=547a2e71f53763ef2f0d3831c4f8510f","DEI, Politecnico di Bari, Via Orabona 4, Bari, Italy; The Antenna Company Nederland B.V., High Tech Campus, Eindhoven, Netherlands; Institute of Cybernetics, Tomsk Polytechnic University, 84/3 Sovetskaya Street - 634050, Tomsk, Russian Federation","A Body Area Nano-NETwork represents a system of biomedical nano-devices that, equipped with sensing, computing, and communication capabilities, can be implanted, ingested, or worn by humans for collecting diagnostic information and tuning medical treatments. The communication among these nano-devices can be enabled by graphene-based nano-antennas, which generate electromagnetic waves in the Terahertz band. However, from a perspective of the electromagnetic field propagation, human tissues generally introduce high losses that significantly impair the communication process, thus limiting communication ranges. In this context, the aim of this contribution is to study the communication capabilities of a Body Area Nano-NETwork, by carefully taking into account the inhomogeneous and disordered structure offered by biological tissues. To this end, the propagation of Pulsed Electric Fields in a stratified media stack made up by stratum corneum, epidermis, dermis, and fat has been carefully modeled. First, electric and magnetic fields, as well as the Poynting vector, have been calculated through an accurate Finite-Difference Time-Domain dispersive modeling based on the fractional derivative operator. Second, path loss and molecular absorption noise temperature have been evaluated. Finally, channel capacity and the related transmission ranges have been estimated by using some baseline physical interfaces. Moreover, the comparison with respect to reference values already available in the literature is presented too. Obtained results clearly highlight that new research efforts are needed to ensure the considered communications due to the severe impairment suffered by electromagnetic waves. © 2016 Elsevier B.V.","Body Area Nano-NETworks; Channel capacity; Finite-difference time-domain; Fractional calculus; Nanoscale communications; Propagation models; Pulsed electric fields","Calculations; Channel capacity; Circular waveguides; Diagnosis; Electric fields; Electromagnetic fields; Electromagnetic waves; Finite difference time domain method; Graphene; Histology; Medical information systems; Nanoantennas; Terahertz waves; Tissue; Tissue engineering; Fractional calculus; Nano-networks; Nanoscale communications; Propagation models; Pulsed electric field; Electromagnetic field effects",,,18787789,,,,"English",2-s2.0-84999711606
"2016 57th International Scientific Conference on Power and Electrical Engineering of Riga Technical University, RTUCON 2016",10.1109/RTUCON.2016.7763079,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010038633&doi=10.1109%2fRTUCON.2016.7763079&partnerID=40&md5=bb877c7498e025f79eef16531bfa19cb","Yuri Gagarin State Technical University of Saratov, SSTU, Saratov, Russian Federation","Heat treatment of experimental titanium samples using high frequency currents is studied. The velocity of heating is determined depending on the current value on the inductor. Experimental results are compared to the data of finite element method (FEM) modeling of heat transfer in metallic products. The peculiarities of the heating of cylindrical designs of two types: I (diameter - 3.75 mm, length - 10 mm) and Π (diameter - 3.95 mm, length - 62.5 mm) implanted into the bone tissue were studied. The temperature of the constructional elements of different implant parts was calculated. © 2016 IEEE.","heat treatment; implantable biomedical devices; numerical models; titanium","Biomedical equipment; Engineering education; Heat transfer; Heat treatment; Heating; Induction heating; Numerical models; Titanium; Bone tissue; Constructional elements; Current values; FEM modeling; Finite element method model (FEM); High-frequency current; Implantable biomedical devices; Medical Devices; Finite element method",,,,9781509037315,,,"English",2-s2.0-85010038633
"International Journal of Molecular Sciences",10.3390/ijms17111920,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995948262&doi=10.3390%2fijms17111920&partnerID=40&md5=8e58b664fb506f2b13b21bb417fcb821","Research Institute for Complex Issues of Cardiovascular Diseases, Sosnovy Boulevard 6, Kemerovo, Russian Federation; Centre for Nanotechnology and Regenerative Medicine, UCL Division of Surgery and Interventional Science, University College London, UCL Medical School Building, 21 University Street, London, United Kingdom; NanoRegMed Ltd., 20-22 Wenlock Road, London, United Kingdom; Kemerovo Cardiology Dispensary, Sosnovy Boulevard 6, Kemerovo, Russian Federation","The blend of poly(3-hydroxybutyrate-co-3-hydroxyvalerate) (PHBV) and poly(ε-caprolactone) (PCL) has recently been considered promising for vascular tissue engineering. However, it was shown that PHBV/PCL grafts require biofunctionalization to achieve high primary patency rate. Here we compared immobilization of arginine–glycine–aspartic acid (RGD)-containing peptides and the incorporation of vascular endothelial growth factor (VEGF) as two widely established biofunctionalization approaches. Electrospun PHBV/PCL small-diameter grafts with either RGD peptides or VEGF, as well as unmodified grafts were implanted into rat abdominal aortas for 1, 3, 6, and 12 months following histological and immunofluorescence assessment. We detected CD31+/CD34+/vWF+ cells 1 and 3 months postimplantation at the luminal surface of PHBV/PCL/RGD and PHBV/PCL/VEGF, but not in unmodified grafts, with the further observation of CD31+ CD34 − vWF+ phenotype. These cells were considered as endothelial and produced a collagen-positive layer resembling a basement membrane. Detection of CD31+/CD34+ cells at the early stages with subsequent loss of CD34 indicated cell adhesion from the bloodstream. Therefore, either conjugation with RGD peptides or the incorporation of VEGF promoted the formation of a functional endothelial cell layer. Furthermore, both modifications increased primary patency rate three-fold. In conclusion, both of these biofunctionalization approaches can be considered as equally efficient for the modification of tissue-engineered vascular grafts. © 2016 by the authors; licensee MDPI, Basel, Switzerland.","Endothelialization; RGD peptides; Tissue engineering; Vascular endothelial growth factor; Vascular graft",,"14-25-00050, RSF, Russian Science Foundation","This investigation was performed in the Research Institute for Complex Issues of Cardiovascular Diseases owing to the funding of Russian Science Foundation (project No. 14-25-00050).",16616596,,,,"English",2-s2.0-84995948262
"Materials Science and Engineering C",10.1016/j.msec.2016.07.072,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989924508&doi=10.1016%2fj.msec.2016.07.072&partnerID=40&md5=420d7364f4f65b745cb52c4a2f59e4ea","Institute of Chemistry, St. Petersburg State University, St. Petersburg, Russian Federation; Department of Clinical and Experimental Medicine, University of Perugia, Perugia, Italy","Receptor-ligand interactions (RLIs) are at the base of all biological events occurring in living cells. The understanding of interactions between complementary macromolecules in biological systems represents a high-priority research area in bionanotechnology to design the artificial systems mimicking natural processes. This review summarizes and analyzes RLIs in some cutting-edge biomedical fields, in particular, for the preparation of novel stationary phases to separate complex biological mixtures in medical diagnostics, for the design of ultrasensitive biosensors for identification of biomarkers of various diseases at early stages, as well as in the development of innovative biomaterials and approaches for regenerative medicine. All these biotechnological fields are closely related, because their success depends on a proper choice, combination and spatial disposition of the single components of ligand-receptor pairs on the surface of appropriately designed support. © 2016 Elsevier B.V.","Affinity chromatography; Biosensor; Ligand; Receptor; Regenerative medicine; Tissue engineering","Affinity chromatography; Biosensors; Chromatography; Ligands; Medical applications; Tissue engineering; Artificial systems; Biological mixtures; Biomedical applications; Ligand-receptor pair; Medical diagnostics; Receptor; Receptor-ligand interactions; Regenerative medicine; Diagnosis",,,09284931,,,,"English",2-s2.0-84989924508
"ACS Applied Materials and Interfaces",10.1021/acsami.6b09711,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992196001&doi=10.1021%2facsami.6b09711&partnerID=40&md5=f86e448283fdb3ef5131e180748cd6f2","School of Chemistry, National University of Ireland Galway, Galway, Ireland; National Centre for Biomedical Engineering Sciences, School of Medicine, National University of Ireland Galway, Galway, Ireland; Center for Microscopy and Imaging, Anatomy, School of Medicine, National University of Ireland Galway, Galway, Ireland; School of Chemistry and Chemical Biology, University College Dublin, Belfield, Dublin 4, Ireland; Institute of Theoretical and Experimental Biophysics, Russian Academy of Science, Pushchino, Moscow Region, Russian Federation; Sechenov First Moscow State Medical University, Institute for Regenerative Medicine, Moscow, Russian Federation","Poly(N-isopropylacrylamide) (pNIPAm) is widely used to fabricate thermoresponsive surfaces for cell sheet detachment. Many complex and expensive techniques have been employed to produce pNIPAm substrates for cell culture. The spin-coating technique allows rapid fabrication of pNIPAm substrates with high reproducibility and uniformity. In this study, the dynamics of cell attachment, proliferation, and function on non-cross-linked spin-coated pNIPAm films of different thicknesses were investigated. The measurements of advancing contact angle revealed increasing contact angles with increasing film thickness. Results suggest that more hydrophilic 50 and 80 nm thin pNIPAm films are more preferable for cell sheet fabrication, whereas more hydrophobic 300 and 900 nm thick spin-coated pNIPAm films impede cell attachment. These changes in cell behavior were correlated with changes in thickness and hydration of pNIPAm films. The control of pNIPAm film thickness using the spin-coating technique offers an effective tool for cell sheet-based tissue engineering. © 2016 American Chemical Society.","cell sheet engineering; film thickness; pNIPAm; protein adsorption; spin-coating; wettability","Acrylic monomers; Amides; Cell culture; Cells; Coatings; Contact angle; Cytology; Film growth; Film thickness; Spin coating; Spin dynamics; Substrates; Tissue engineering; Wetting; Advancing contact angle; Cell sheet engineering; High reproducibility; pNIPAm; Poly (n isopropylacrylamide); Poly(N-isopropyl acrylamide) (pNIPAM); Protein adsorption; Rapid fabrication; Cell engineering","GOIPG/2016/654, Irish Research Council","The work was supported by a PhD scholarship from College of Science, National University of Ireland, Galway (NUIG), Galway, Ireland. The study has received funding from the Irish Research Council under grant agreement GOIPG/2016/654. The part of this work (AFM analysis) was supported by the Russian Science Foundation (grant no. 15-15-00132).",19448244,,,,"English",2-s2.0-84992196001
"MATEC Web of Conferences",10.1051/matecconf/20167901025,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992670267&doi=10.1051%2fmatecconf%2f20167901025&partnerID=40&md5=ff81118006084c61da1de742e358b25c","National Research Tomsk Polytechnic University, Tomsk, Russian Federation","Electrospun biodegradable scaffolds (matrixes) made of poly(ϵ-caprolactone) (PCL) and poly(L-lactic acid) (PLLA) are three-dimensional fibrous structures that are commonly used in regenerative medicine and drug delivery systems. Modification of such structures allows manipulating with biological and immune response. Previously, our team suggested a number of surface modification strategies for thin films made of PLLA. One of the proposed strategies are based on treatment of the material with ""solvent/non-solvent"" mixture that allows absorbing biologically active molecules or linkers on the surface of the sample. The aim of this work was to compare the influence of ""solvent/non-solvent"" treatment on the structure and crystallinity of the elecrospun biodegradable PCL and PLLA scaffolds. For that purpose, original PCL and PLLA scaffolds were treated with mixture of toluene and ethanol in different proportions. Morphology of the obtained samples was studied using scanning electron microscopy. It was shown that ""solvent/non-solvent"" treatment doesn't lead to changes in scaffolds morphology such as gluing or cutting of the matrix fibers. By means of X-ray diffraction analysis it was shown that treatment of the samples with selected mixtures doesn't change material crystallinity. Thus, it was demonstrated that proposed composition of the ""solvent/nonsolvent"" mixture can be used for the modification of electrospun PCL and PLLA scaffolds. © The Authors, published by EDP Sciences, 2016.",,"Lactic acid; Mixtures; Molecules; Scanning electron microscopy; Solvents; Surface treatment; X ray diffraction analysis; Biodegradable scaffold; Biologically active molecules; Different proportions; Drug delivery system; Fibrous structures; Poly L lactic acid; Regenerative medicine; Signal molecules; Scaffolds",,,2261236X,,,,"English",2-s2.0-84992670267
